,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
77,0.72,0.144,6,-14.467,1,0.348,0.583,0.939,0.116,0.677,84.2,audio_features,3YQxGdS7u0IY9zn5gGhBsI,spotify:track:3YQxGdS7u0IY9zn5gGhBsI,https://api.spotify.com/v1/tracks/3YQxGdS7u0IY9zn5gGhBsI,https://api.spotify.com/v1/audio-analysis/3YQxGdS7u0IY9zn5gGhBsI,127857,4
78,0.787,0.328,0,-8.953,1,0.0924,0.779,0.71,0.122,0.481,83.02,audio_features,27I1IeWE3brK3aRqgzseAP,spotify:track:27I1IeWE3brK3aRqgzseAP,https://api.spotify.com/v1/tracks/27I1IeWE3brK3aRqgzseAP,https://api.spotify.com/v1/audio-analysis/27I1IeWE3brK3aRqgzseAP,151382,4
79,0.516,0.248,6,-13.078,1,0.0446,0.773,0.807,0.0987,0.133,89.915,audio_features,0GKi4sPErVwTzruhuqoDvb,spotify:track:0GKi4sPErVwTzruhuqoDvb,https://api.spotify.com/v1/tracks/0GKi4sPErVwTzruhuqoDvb,https://api.spotify.com/v1/audio-analysis/0GKi4sPErVwTzruhuqoDvb,195097,4
80,0.432,0.206,6,-9.318,0,0.0541,0.792,0.593,0.475,0.158,72.477,audio_features,086QQrq148XbaGFlRsglTG,spotify:track:086QQrq148XbaGFlRsglTG,https://api.spotify.com/v1/tracks/086QQrq148XbaGFlRsglTG,https://api.spotify.com/v1/audio-analysis/086QQrq148XbaGFlRsglTG,323454,1
81,0.454,0.177,10,-16.645,1,0.0487,0.948,0.908,0.133,0.19,113.945,audio_features,3HpmfWNinvhJI3Urh14f4q,spotify:track:3HpmfWNinvhJI3Urh14f4q,https://api.spotify.com/v1/tracks/3HpmfWNinvhJI3Urh14f4q,https://api.spotify.com/v1/audio-analysis/3HpmfWNinvhJI3Urh14f4q,181000,4
82,0.618,0.287,6,-10.092,1,0.365,0.463,0.949,0.134,0.379,30.037,audio_features,29nUDtZXIjFJ6GBGkCrq7P,spotify:track:29nUDtZXIjFJ6GBGkCrq7P,https://api.spotify.com/v1/tracks/29nUDtZXIjFJ6GBGkCrq7P,https://api.spotify.com/v1/audio-analysis/29nUDtZXIjFJ6GBGkCrq7P,182857,4
83,0.664,0.116,5,-17.59,0,0.0317,0.255,0.794,0.155,0.125,77.061,audio_features,0xOlVRUewjWRZqyYFdOr7W,spotify:track:0xOlVRUewjWRZqyYFdOr7W,https://api.spotify.com/v1/tracks/0xOlVRUewjWRZqyYFdOr7W,https://api.spotify.com/v1/audio-analysis/0xOlVRUewjWRZqyYFdOr7W,130179,4
84,0.63,0.328,4,-9.611,0,0.102,0.647,0.497,0.105,0.111,167.981,audio_features,05ULKBGbXdbVpqqokRTkEp,spotify:track:05ULKBGbXdbVpqqokRTkEp,https://api.spotify.com/v1/tracks/05ULKBGbXdbVpqqokRTkEp,https://api.spotify.com/v1/audio-analysis/05ULKBGbXdbVpqqokRTkEp,126268,4
85,0.798,0.189,1,-12.116,1,0.0456,0.65,0.841,0.0885,0.54,132.194,audio_features,6SWH92ivTfPFY7WlCH71Qu,spotify:track:6SWH92ivTfPFY7WlCH71Qu,https://api.spotify.com/v1/tracks/6SWH92ivTfPFY7WlCH71Qu,https://api.spotify.com/v1/audio-analysis/6SWH92ivTfPFY7WlCH71Qu,232727,4
86,0.656,0.25,10,-15.002,1,0.502,0.243,0.93,0.228,0.429,168.014,audio_features,2EzQ7JQ1mxQXVeuOau7QzE,spotify:track:2EzQ7JQ1mxQXVeuOau7QzE,https://api.spotify.com/v1/tracks/2EzQ7JQ1mxQXVeuOau7QzE,https://api.spotify.com/v1/audio-analysis/2EzQ7JQ1mxQXVeuOau7QzE,114284,3
87,0.543,0.561,5,-7.421,1,0.595,0.27,0.000121,0.278,0.247,149.503,audio_features,2OQnCkzIekQdZ1x9NqbU5r,spotify:track:2OQnCkzIekQdZ1x9NqbU5r,https://api.spotify.com/v1/tracks/2OQnCkzIekQdZ1x9NqbU5r,https://api.spotify.com/v1/audio-analysis/2OQnCkzIekQdZ1x9NqbU5r,68000,4
88,0.484,0.267,9,-10.446,0,0.283,0.297,0.913,0.105,0.287,182.024,audio_features,0uKp2MvCZFUdCEdNfhyTNd,spotify:track:0uKp2MvCZFUdCEdNfhyTNd,https://api.spotify.com/v1/tracks/0uKp2MvCZFUdCEdNfhyTNd,https://api.spotify.com/v1/audio-analysis/0uKp2MvCZFUdCEdNfhyTNd,153600,5
89,0.638,0.0703,0,-12.257,1,0.165,0.318,0.937,0.107,0.648,77.366,audio_features,5DPOA0BfvqhGuiuosDgzMN,spotify:track:5DPOA0BfvqhGuiuosDgzMN,https://api.spotify.com/v1/tracks/5DPOA0BfvqhGuiuosDgzMN,https://api.spotify.com/v1/audio-analysis/5DPOA0BfvqhGuiuosDgzMN,125067,4
90,0.468,0.16,10,-18.396,0,0.054,0.134,0.84,0.115,0.395,105.399,audio_features,53TnaLXIUyOF9RqSb1LwbZ,spotify:track:53TnaLXIUyOF9RqSb1LwbZ,https://api.spotify.com/v1/tracks/53TnaLXIUyOF9RqSb1LwbZ,https://api.spotify.com/v1/audio-analysis/53TnaLXIUyOF9RqSb1LwbZ,141015,1
91,0.436,0.141,1,-18.042,0,0.0383,0.958,0.977,0.0963,0.0398,92.029,audio_features,2nx4YVXDuYHOPB4IfYJqG3,spotify:track:2nx4YVXDuYHOPB4IfYJqG3,https://api.spotify.com/v1/tracks/2nx4YVXDuYHOPB4IfYJqG3,https://api.spotify.com/v1/audio-analysis/2nx4YVXDuYHOPB4IfYJqG3,146087,4
92,0.374,0.237,6,-10.796,1,0.163,0.957,0.822,0.088,0.417,83.271,audio_features,4XDlW5QgLKZupaJ5VvacsP,spotify:track:4XDlW5QgLKZupaJ5VvacsP,https://api.spotify.com/v1/tracks/4XDlW5QgLKZupaJ5VvacsP,https://api.spotify.com/v1/audio-analysis/4XDlW5QgLKZupaJ5VvacsP,148605,4
93,0.526,0.168,5,-17.859,1,0.167,0.749,0.899,0.663,0.146,78.477,audio_features,236ix0jugruKtmskaVzxXv,spotify:track:236ix0jugruKtmskaVzxXv,https://api.spotify.com/v1/tracks/236ix0jugruKtmskaVzxXv,https://api.spotify.com/v1/audio-analysis/236ix0jugruKtmskaVzxXv,165714,4
94,0.822,0.127,1,-10.236,1,0.444,0.154,0.906,0.0955,0.93,78.94,audio_features,3YwFlLjQb9ajY34RHOsTuz,spotify:track:3YwFlLjQb9ajY34RHOsTuz,https://api.spotify.com/v1/tracks/3YwFlLjQb9ajY34RHOsTuz,https://api.spotify.com/v1/audio-analysis/3YwFlLjQb9ajY34RHOsTuz,100714,4
95,0.794,0.266,0,-8.772,0,0.216,0.125,0.698,0.121,0.263,82.153,audio_features,3OCCA4n0QeItT6KcQGbqjf,spotify:track:3OCCA4n0QeItT6KcQGbqjf,https://api.spotify.com/v1/tracks/3OCCA4n0QeItT6KcQGbqjf,https://api.spotify.com/v1/audio-analysis/3OCCA4n0QeItT6KcQGbqjf,130351,4
96,0.548,0.302,10,-12.869,1,0.12,0.752,0.893,0.314,0.546,127.159,audio_features,6gyYI35SD576xiwstBIX7Y,spotify:track:6gyYI35SD576xiwstBIX7Y,https://api.spotify.com/v1/tracks/6gyYI35SD576xiwstBIX7Y,https://api.spotify.com/v1/audio-analysis/6gyYI35SD576xiwstBIX7Y,77922,4
97,0.713,0.187,9,-13.918,0,0.0897,0.365,0.942,0.0953,0.859,182.005,audio_features,52ZLjnsMGH2xL6I7QGSJG7,spotify:track:52ZLjnsMGH2xL6I7QGSJG7,https://api.spotify.com/v1/tracks/52ZLjnsMGH2xL6I7QGSJG7,https://api.spotify.com/v1/audio-analysis/52ZLjnsMGH2xL6I7QGSJG7,150714,4
98,0.709,0.131,9,-12.297,1,0.0438,0.657,0.815,0.0952,0.486,88.045,audio_features,5iURySToTFcMRiXNExQJ90,spotify:track:5iURySToTFcMRiXNExQJ90,https://api.spotify.com/v1/tracks/5iURySToTFcMRiXNExQJ90,https://api.spotify.com/v1/audio-analysis/5iURySToTFcMRiXNExQJ90,185455,4
99,0.629,0.492,6,-8.044,1,0.0518,0.144,0.826,0.129,0.508,79.434,audio_features,24FBaamERJF17f0v0Xfgfn,spotify:track:24FBaamERJF17f0v0Xfgfn,https://api.spotify.com/v1/tracks/24FBaamERJF17f0v0Xfgfn,https://api.spotify.com/v1/audio-analysis/24FBaamERJF17f0v0Xfgfn,148013,4
