,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
44,0.806,0.739,1,-6.764,1,0.0329,0.0463,0.0307,0.0487,0.959,116.712,audio_features,3i749PIamGcEauiV4s1ZN4,spotify:track:3i749PIamGcEauiV4s1ZN4,https://api.spotify.com/v1/tracks/3i749PIamGcEauiV4s1ZN4,https://api.spotify.com/v1/audio-analysis/3i749PIamGcEauiV4s1ZN4,236840,4
45,0.709,0.726,11,-8.704,1,0.0444,0.119,5.52e-05,0.177,0.964,119.501,audio_features,72YXJleQw7Ap7oWKO4vfC0,spotify:track:72YXJleQw7Ap7oWKO4vfC0,https://api.spotify.com/v1/tracks/72YXJleQw7Ap7oWKO4vfC0,https://api.spotify.com/v1/audio-analysis/72YXJleQw7Ap7oWKO4vfC0,248227,4
46,0.699,0.696,11,-13.045,1,0.0458,0.0098,0.000345,0.0427,0.673,135.027,audio_features,6N5DRCQUSXT1qQqmqsO92B,spotify:track:6N5DRCQUSXT1qQqmqsO92B,https://api.spotify.com/v1/tracks/6N5DRCQUSXT1qQqmqsO92B,https://api.spotify.com/v1/audio-analysis/6N5DRCQUSXT1qQqmqsO92B,253293,4
47,0.761,0.641,8,-13.466,0,0.0445,0.0713,0.0269,0.483,0.822,119.61,audio_features,0QUpBXTOdB4JJyTGFN6dH1,spotify:track:0QUpBXTOdB4JJyTGFN6dH1,https://api.spotify.com/v1/tracks/0QUpBXTOdB4JJyTGFN6dH1,https://api.spotify.com/v1/audio-analysis/0QUpBXTOdB4JJyTGFN6dH1,333360,4
48,0.521,0.878,9,-8.597,1,0.0542,0.286,6.8e-06,0.136,0.841,159.625,audio_features,6GAn3ar2CL8wUg0MbICZvp,spotify:track:6GAn3ar2CL8wUg0MbICZvp,https://api.spotify.com/v1/tracks/6GAn3ar2CL8wUg0MbICZvp,https://api.spotify.com/v1/audio-analysis/6GAn3ar2CL8wUg0MbICZvp,317875,4
49,0.819,0.611,7,-7.428,1,0.129,0.0673,7.7e-05,0.0477,0.653,101.001,audio_features,7ELuWpsuVCRBnOR9ZAZKDp,spotify:track:7ELuWpsuVCRBnOR9ZAZKDp,https://api.spotify.com/v1/tracks/7ELuWpsuVCRBnOR9ZAZKDp,https://api.spotify.com/v1/audio-analysis/7ELuWpsuVCRBnOR9ZAZKDp,232133,4
50,0.707,0.759,11,-12.328,0,0.046,0.0769,2.84e-05,0.0775,0.955,115.142,audio_features,5yGTQzYbEdY6B9RFZJypgt,spotify:track:5yGTQzYbEdY6B9RFZJypgt,https://api.spotify.com/v1/tracks/5yGTQzYbEdY6B9RFZJypgt,https://api.spotify.com/v1/audio-analysis/5yGTQzYbEdY6B9RFZJypgt,229107,4
51,0.844,0.647,7,-9.248,1,0.0877,0.0405,0.132,0.106,0.58,115.164,audio_features,3sRCesHh424gmCji7Fz9Gm,spotify:track:3sRCesHh424gmCji7Fz9Gm,https://api.spotify.com/v1/tracks/3sRCesHh424gmCji7Fz9Gm,https://api.spotify.com/v1/audio-analysis/3sRCesHh424gmCji7Fz9Gm,404213,4
52,0.733,0.744,7,-3.505,1,0.0309,0.161,0.0,0.0389,0.667,93.979,audio_features,1bzHZRL513pHVC9oEwQ0aL,spotify:track:1bzHZRL513pHVC9oEwQ0aL,https://api.spotify.com/v1/tracks/1bzHZRL513pHVC9oEwQ0aL,https://api.spotify.com/v1/audio-analysis/1bzHZRL513pHVC9oEwQ0aL,194541,4
53,0.607,0.812,1,-4.314,0,0.274,0.0834,1.43e-05,0.169,0.676,95.021,audio_features,683pmH1N542FzPKKvs0Aqs,spotify:track:683pmH1N542FzPKKvs0Aqs,https://api.spotify.com/v1/tracks/683pmH1N542FzPKKvs0Aqs,https://api.spotify.com/v1/audio-analysis/683pmH1N542FzPKKvs0Aqs,192285,4
