,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
45,0.52,0.908,5,-3.405,1,0.0438,0.113,0.000284,0.159,0.791,153.99,audio_features,7INe1ffNmCw9N9YrqNdJga,spotify:track:7INe1ffNmCw9N9YrqNdJga,https://api.spotify.com/v1/tracks/7INe1ffNmCw9N9YrqNdJga,https://api.spotify.com/v1/audio-analysis/7INe1ffNmCw9N9YrqNdJga,202120,4
46,0.191,0.0151,11,-28.454,1,0.0497,0.995,0.871,0.0962,0.115,201.132,audio_features,7IOhTZyPfyCPhO041cdiDv,spotify:track:7IOhTZyPfyCPhO041cdiDv,https://api.spotify.com/v1/tracks/7IOhTZyPfyCPhO041cdiDv,https://api.spotify.com/v1/audio-analysis/7IOhTZyPfyCPhO041cdiDv,127013,4
47,0.635,0.677,10,-5.548,1,0.0909,0.161,0.0,0.154,0.253,94.95,audio_features,7IP0lO9tHfNwBWZ9X6TJ84,spotify:track:7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/tracks/7IP0lO9tHfNwBWZ9X6TJ84,https://api.spotify.com/v1/audio-analysis/7IP0lO9tHfNwBWZ9X6TJ84,213733,4
48,0.813,0.551,6,-7.605,0,0.353,0.08,0.0,0.386,0.598,124.957,audio_features,7IVQ3HgoP3SRoJqxym4nBD,spotify:track:7IVQ3HgoP3SRoJqxym4nBD,https://api.spotify.com/v1/tracks/7IVQ3HgoP3SRoJqxym4nBD,https://api.spotify.com/v1/audio-analysis/7IVQ3HgoP3SRoJqxym4nBD,250770,4
49,0.686,0.9,5,-4.406,1,0.0614,0.068,0.0,0.0985,0.962,155.963,audio_features,7IVTmZGRp264dILwTNXzjG,spotify:track:7IVTmZGRp264dILwTNXzjG,https://api.spotify.com/v1/tracks/7IVTmZGRp264dILwTNXzjG,https://api.spotify.com/v1/audio-analysis/7IVTmZGRp264dILwTNXzjG,206293,4
50,0.594,0.722,4,-5.751,0,0.0398,0.0156,0.0,0.0667,0.407,127.877,audio_features,7IWTIkiWGWNQyYfOLdMrGD,spotify:track:7IWTIkiWGWNQyYfOLdMrGD,https://api.spotify.com/v1/tracks/7IWTIkiWGWNQyYfOLdMrGD,https://api.spotify.com/v1/audio-analysis/7IWTIkiWGWNQyYfOLdMrGD,200322,4
51,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133,5
52,0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,audio_features,7IhkWF9zpiYKlU7CxHxYT9,spotify:track:7IhkWF9zpiYKlU7CxHxYT9,https://api.spotify.com/v1/tracks/7IhkWF9zpiYKlU7CxHxYT9,https://api.spotify.com/v1/audio-analysis/7IhkWF9zpiYKlU7CxHxYT9,332907,4
53,0.713,0.746,0,-4.99,1,0.259,0.0402,0.0,0.601,0.47,135.021,audio_features,7IhsLJMqdxoo7YAZjaSMru,spotify:track:7IhsLJMqdxoo7YAZjaSMru,https://api.spotify.com/v1/tracks/7IhsLJMqdxoo7YAZjaSMru,https://api.spotify.com/v1/audio-analysis/7IhsLJMqdxoo7YAZjaSMru,299747,4
54,0.728,0.566,0,-8.449,1,0.0391,0.0659,0.000145,0.105,0.411,120.017,audio_features,7InANEqeNSQfd5P2QgTn1A,spotify:track:7InANEqeNSQfd5P2QgTn1A,https://api.spotify.com/v1/tracks/7InANEqeNSQfd5P2QgTn1A,https://api.spotify.com/v1/audio-analysis/7InANEqeNSQfd5P2QgTn1A,213853,4
